Rules.RulesLongMethod	public static void rules(java.lang.String) 	longValues	B2	0/61
Support.Leitura_Projetos	public List<java.io.File> lista(java.lang.String) 	fimdojava	B2	0/9
Support.Leitura_Projetos	private void packages(java.lang.String) 	packages	B2	0/6
Support.Leitura_Projetos	private void packages(java.lang.String) 	packages	B3	0/5
Support.Leitura_Projetos	private void packages(java.lang.String) 	packages	B4	0/3
Support.Create_Method	public static void createData(java.lang.String, java.lang.String, ArrayList<java.lang.String>, int, int, int, ArrayList<java.lang.Integer>, ArrayList<java.lang.Integer>) 	a	B2	0/3
Rules.CodeSmellQualityMethod	public static void getTheirs(java.lang.String) throws java.io.IOException	longMT	B1	3/18
Rules.CodeSmellQualityMethod	public static void getTheirs(java.lang.String) throws java.io.IOException	longMT	B10	0/12
Rules.CodeSmellQualityMethod	public static void getTheirs(java.lang.String) throws java.io.IOException	longMT	B11	0/11
Rules.CodeSmellQualityMethod	public static void getTheirs(java.lang.String) throws java.io.IOException	longMT	B14	0/8
Rules.CodeSmellQualityMethod	public static void getTheirs(java.lang.String) throws java.io.IOException	longMT	B15	0/7
Rules.CodeSmellQualityMethod	public static void getTheirs(java.lang.String) throws java.io.IOException	longMT	B16	0/6
Rules.CodeSmellQualityMethod	public static void getTheirs(java.lang.String) throws java.io.IOException	longMT	B17	0/4
Rules.CodeSmellQualityMethod	public static void getTheirs(java.lang.String) throws java.io.IOException	longMT	B18	0/2
Rules.CodeSmellQualityClass	public static void getTheirs(java.lang.String) throws java.io.IOException	columnNo2	B1	3/9
Rules.CodeSmellQualityClass	public static void getTheirs(java.lang.String) throws java.io.IOException	columnNo2	B10	0/4
Rules.CodeSmellQualityClass	public static void getTheirs(java.lang.String) throws java.io.IOException	columnNo2	B11	0/3
Rules.CodeSmellQualityClass	public static void getTheirs(java.lang.String) throws java.io.IOException	columnNo2	B12	0/2
Rules.CodeSmellQualityMethod	public static void getTheirs(java.lang.String) throws java.io.IOException	columnNo2	B1	3/9
Rules.CodeSmellQualityMethod	public static void getTheirs(java.lang.String) throws java.io.IOException	columnNo2	B10	0/4
Rules.CodeSmellQualityMethod	public static void getTheirs(java.lang.String) throws java.io.IOException	columnNo2	B11	0/3
Rules.CodeSmellQualityMethod	public static void getTheirs(java.lang.String) throws java.io.IOException	columnNo2	B12	0/2
Rules.CodeSmellQualityClass	public static void getOurs(java.lang.String) throws java.io.IOException	columnNo	B1	3/9
Rules.CodeSmellQualityClass	public static void getOurs(java.lang.String) throws java.io.IOException	columnNo	B2	0/3
Rules.CodeSmellQualityClass	public static void getOurs(java.lang.String) throws java.io.IOException	columnNo	B3	0/2
Rules.CodeSmellQualityClass	public static void getTheirs(java.lang.String) throws java.io.IOException	columnNo	B1	3/9
Rules.CodeSmellQualityClass	public static void getTheirs(java.lang.String) throws java.io.IOException	columnNo	B2	0/3
Rules.CodeSmellQualityClass	public static void getTheirs(java.lang.String) throws java.io.IOException	columnNo	B3	0/2
Rules.CodeSmellQualityMethod	public static void getOurs(java.lang.String) throws java.io.IOException	columnNo	B1	3/9
Rules.CodeSmellQualityMethod	public static void getOurs(java.lang.String) throws java.io.IOException	columnNo	B2	0/3
Rules.CodeSmellQualityMethod	public static void getOurs(java.lang.String) throws java.io.IOException	columnNo	B3	0/2
Rules.CodeSmellQualityMethod	public static void getTheirs(java.lang.String) throws java.io.IOException	columnNo	B1	3/9
Rules.CodeSmellQualityMethod	public static void getTheirs(java.lang.String) throws java.io.IOException	columnNo	B2	0/3
Rules.CodeSmellQualityMethod	public static void getTheirs(java.lang.String) throws java.io.IOException	columnNo	B3	0/2
Support.Create_Method	public void fillmethod(java.io.File) 	a	B1	2/16
Rules.CodeSmellQualityClass	public static void getTheirs(java.lang.String) throws java.io.IOException	godT	B1	3/18
Support.ImportExcel	public static void fillData(java.io.File) 	workbook	B1	1/5
Rules.CodeSmellQualityMethod	public static void getOurs(java.lang.String) throws java.io.IOException	nameMO	B1	12/17
Rules.CodeSmellQualityMethod	public static void getOurs(java.lang.String) throws java.io.IOException	nameMO	B2	6/10
Rules.CodeSmellQualityMethod	public static void getOurs(java.lang.String) throws java.io.IOException	nameMO	B5	3/7
Rules.CodeSmellQualityMethod	public static void getOurs(java.lang.String) throws java.io.IOException	nameMO	B6	2/6
Rules.CodeSmellQualityMethod	public static void getOurs(java.lang.String) throws java.io.IOException	nameMO	B7	1/5
Rules.CodeSmellQualityMethod	public static void getOurs(java.lang.String) throws java.io.IOException	nameMO	B8	0/2
Rules.CodeSmellQualityMethod	public static void getTheirs(java.lang.String) throws java.io.IOException	nameMT	B1	12/17
Rules.CodeSmellQualityMethod	public static void getTheirs(java.lang.String) throws java.io.IOException	nameMT	B2	6/10
Rules.CodeSmellQualityMethod	public static void getTheirs(java.lang.String) throws java.io.IOException	nameMT	B5	3/7
Rules.CodeSmellQualityMethod	public static void getTheirs(java.lang.String) throws java.io.IOException	nameMT	B6	2/6
Rules.CodeSmellQualityMethod	public static void getTheirs(java.lang.String) throws java.io.IOException	nameMT	B7	1/5
Rules.CodeSmellQualityMethod	public static void getTheirs(java.lang.String) throws java.io.IOException	nameMT	B8	0/2
Rules.CodeSmellQualityClass	public static void compareValues(java.lang.String, java.lang.String) throws java.io.IOException	limite	B6	5/9
Rules.CodeSmellQualityClass	public static void compareValues(java.lang.String, java.lang.String) throws java.io.IOException	limite	B7	4/8
Rules.CodeSmellQualityMethod	public static void compareValues(java.lang.String, java.lang.String) throws java.io.IOException	limite	B6	5/9
Rules.CodeSmellQualityMethod	public static void compareValues(java.lang.String, java.lang.String) throws java.io.IOException	limite	B7	4/8
Rules.CodeSmellQualityClass	public static void getOurs(java.lang.String) throws java.io.IOException	nameCO	B1	12/17
Rules.CodeSmellQualityClass	public static void getTheirs(java.lang.String) throws java.io.IOException	nameCT	B1	12/17
